WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid,latitude,longitude
"POLYGON ((5.89502979898625 51.3021275209424,5.8950297128534 51.3021275123294,5.89494632709051 51.3021183479407,5.89495656082142 51.3020817634507,5.89491458001082 51.3020770746272,5.89492894152889 51.3020235190835,5.89497383526545 51.3020283929477,5.89497994173977 51.3020062446439,5.89506102880404 51.302015032517,5.89505038706675 51.302053605342,5.89505012866861 51.3020535795029,5.89502979898625 51.3021275209424))","1640100000025673",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025673,"1988",Pand in gebruik,woonfunctie,"121","121","1",pand.efa39807-a42a-4a86-a818-539af71d8790,51.302,5.895
"POLYGON ((5.89515635059999 51.3003580447637,5.8951262174794 51.3003574212193,5.89512552850194 51.30036639514,5.89508717334912 51.3003652501596,5.89506537166738 51.3003646711387,5.89506685147553 51.3003455632864,5.89506754206126 51.3003367331813,5.89502456801324 51.3003354285597,5.89502396494603 51.300344393116,5.8949809205978 51.3003432146295,5.89493892194822 51.3003419416757,5.89494513989518 51.300261401047,5.8950253072379 51.3002638288139,5.89513276518058 51.3002665778707,5.89513092770449 51.3002947930321,5.89512909022618 51.3003230081933,5.89515865458525 51.3003240656863,5.89515635059999 51.3003580447637))","1640100000025675",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025675,"1993",Pand in gebruik,onderwijsfunctie,"90","90","1",pand.da6a1428-05e1-46bf-8839-eafaa6a52210,51.300,5.895
"POLYGON ((5.89500980136315 51.3014668887714,5.89503426034327 51.3014691191535,5.89502026526725 51.3015156168339,5.89496796250958 51.3015098045157,5.89500407097744 51.3013743911211,5.89511805179392 51.3013870983946,5.89510008879607 51.3014507372402,5.895016731134 51.3014414109827,5.89500980136315 51.3014668887714))","1640100000025676",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025676,"1957",Pand in gebruik,woonfunctie,"123","123","1",pand.6f82347e-ca65-4502-8e75-aca5a8d929fd,51.301,5.895
"POLYGON ((5.89505038706675 51.302053605342,5.89513413190147 51.3020628310108,5.89513867316349 51.3020469457979,5.89518317989696 51.3020518302595,5.89516649842615 51.302110798285,5.89512856940445 51.3021068379311,5.89512001875637 51.3021374374786,5.89510297688823 51.3021355612659,5.89503366102485 51.3021279445455,5.89502979898625 51.3021275209424,5.89505038706675 51.302053605342))","1640100000025677",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025677,"1988",Pand in gebruik,woonfunctie,"105","105","1",pand.48c6ae60-24fa-4d01-8987-fda8f04424cb,51.302,5.895
"POLYGON ((5.89504953168589 51.3001623553738,5.89527887016521 51.3001676825086,5.89527557594054 51.3002235179076,5.89522874420749 51.3002221582926,5.89522929101825 51.3002145872588,5.89520688620214 51.3002139210086,5.89513691771774 51.3002118353749,5.89513480402608 51.3002397101641,5.89504511352932 51.30023709032,5.89504953168589 51.3001623553738))","1640100000025678",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025678,"1993",Pand in gebruik,bijeenkomstfunctie,"98","98","1",pand.06e206fa-f327-44d3-b822-defb4b709e62,51.300,5.895
"POLYGON ((5.89519784351813 51.3006261820553,5.89520746060522 51.3006335289433,5.89514356610658 51.3006671296623,5.89505846020782 51.3006035451325,5.89512497816241 51.3005686026539,5.89517682878496 51.3006073881258,5.89522339228077 51.3005832744155,5.8952466172858 51.3006009620428,5.89519784351813 51.3006261820553))","1640100000025679",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025679,"1950",Pand in gebruik,woonfunctie,"104","104","1",pand.ec1b3702-cd3d-4f19-a35f-44fe15ea24e0,51.301,5.895
"POLYGON ((5.89560643102144 51.29847303232,5.89547700094486 51.2984448781955,5.89546748327031 51.2984632121616,5.89512930538343 51.2983889842602,5.89511763670362 51.2984098894201,5.89501934502281 51.2983890326899,5.89499634600094 51.2984316235434,5.89491945870379 51.2984156801396,5.89495828596458 51.2983445524184,5.89495531078574 51.2983439092107,5.89501458241819 51.2982351546508,5.89513331357783 51.2982605784183,5.89515360462446 51.2982233477478,5.89521743292411 51.2982370198831,5.89519604201911 51.2982746239107,5.89516625803638 51.2983311322555,5.89562153712983 51.2984337477853,5.89560643102144 51.29847303232))","1640100000025680",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025680,"1905",Pand in gebruik,"bijeenkomstfunctie,woonfunctie","149","318","2",pand.54201a8d-2b1a-41c1-833f-f51c8abb4239,51.298,5.895
"POLYGON ((5.89523009830817 51.2986879373129,5.89519072353216 51.2986981408038,5.89525817580482 51.2987953218844,5.89514422430272 51.2988272804425,5.8950342141113 51.2986731426366,5.89514652774673 51.2986422070789,5.89515806652847 51.2986586603189,5.89520132267539 51.2986467769505,5.89523009830817 51.2986879373129))","1640100000025682",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025682,"1953",Pand in gebruik,woonfunctie,"245","245","1",pand.34eaf50a-4cd5-46a6-adb8-55a3ce0292b6,51.299,5.895
"POLYGON ((5.89577863348197 51.3021322599921,5.89575627805047 51.3022147768276,5.89567527833226 51.3022061508558,5.89569763360592 51.3021236070703,5.89577863348197 51.3021322599921))","1640100000025708",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025708,"1985",Pand in gebruik,woonfunctie,"45","45","1",pand.4229c1b2-84cc-4592-bb97-35805fe7e1f4,51.302,5.896
"POLYGON ((5.89529576886807 51.3023895367876,5.89521000361243 51.3023804998305,5.89520274694844 51.3024075341346,5.89512213574011 51.3023990499037,5.89512805658421 51.3023769743137,5.8951399393752 51.3023326521643,5.89519310113341 51.302338253914,5.89520381427114 51.3022983683865,5.89531702889509 51.3023103057717,5.89530513194256 51.3023546280015,5.89529576886807 51.3023895367876))","1640100000025684",http://bag.basisregistraties.overheid.nl/bag/id/pand/1640100000025684,"1981",Pand in gebruik,woonfunctie,"191","191","1",pand.21164bc3-2d33-4e31-a1e8-1558e2557e48,51.302,5.895
