WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.79966296023829 53.3419677438412,6.79967182696875 53.341945083841,6.79961904530996 53.3419381553192,6.79961043871194 53.3419605067222,6.79966296023829 53.3419677438412)))","0024100000146070",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000146070,1990,Pand in gebruik,overige gebruiksfunctie,8,8,1,pand.d5dd4054-3082-4a98-be07-204f1945385e,6.800,53.342
"MULTIPOLYGON (((6.71231778319485 53.3689503762017,6.71231825852279 53.3689604444486,6.71242529908996 53.3689586362182,6.71242336606036 53.3689178244113,6.71231716669317 53.3689196233742,6.71231733355402 53.368923090193,6.71231778319485 53.3689503762017)))","0024100000152092",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152092,1986,Pand in gebruik,,,,0,pand.426eae24-1805-49b2-9679-02ecf62fc3a6,6.712,53.369
"MULTIPOLYGON (((6.77218159628676 53.3685142174442,6.77220151351637 53.3684818352841,6.77206458544992 53.3684517172487,6.77204468314996 53.3684840992139,6.77218159628676 53.3685142174442)))","0024100000152096",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152096,1996,Pand in gebruik,,,,0,pand.36b048d4-8593-4e3e-93e5-df430439c046,6.772,53.368
"MULTIPOLYGON (((6.70883345862752 53.3693440931206,6.70890184439879 53.3693326033037,6.70886205637516 53.3692479056693,6.70879367100336 53.3692594044467,6.70883345862752 53.3693440931206)))","0024100000152099",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152099,1980,Pand in gebruik,,,,0,pand.956c90de-ef6b-4a7a-b9c3-307719a3dca6,6.709,53.369
"MULTIPOLYGON (((6.71295411282672 53.3695761160868,6.71296747080185 53.3695902838146,6.71301118607443 53.3695768799174,6.71297009260364 53.3695261566603,6.71294273352471 53.3695349770654,6.71292898707117 53.3695203912668,6.7128396301752 53.3695505091485,6.71288554491082 53.3695992293198,6.71295411282672 53.3695761160868)))","0024100000152102",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000152102,1979,Pand in gebruik,,,,0,pand.ba207f37-ff3e-4eab-a1d6-41b614e8c8ec,6.713,53.370
"MULTIPOLYGON (((6.76192931504551 53.3477309618215,6.76191936137622 53.3477428117332,6.76184404752923 53.3478250886665,6.76194965543912 53.347859107655,6.7620357280816 53.347765744352,6.76201281043711 53.3477581882891,6.7620347212995 53.3477342139255,6.7619849427844 53.3477178887952,6.76196303477061 53.3477419529802,6.76192931504551 53.3477309618215)))","0024100000149028",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000149028,1904,Pand in gebruik,"bijeenkomstfunctie,logiesfunctie,woonfunctie",96,96,1,pand.88f46a25-c5d0-40ab-ad0c-c80df43ffd74,6.762,53.348
"MULTIPOLYGON (((6.77109311843093 53.3722937097542,6.77098461135358 53.3722697605347,6.77090459542162 53.3722594121852,6.77088403076999 53.3722927720269,6.77089460694359 53.3722950407181,6.77100000680381 53.372317686811,6.77106974396452 53.3723326734244,6.77109370856434 53.372293837759,6.77109311843093 53.3722937097542)))","0024100000153775",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153775,2013,Pand in gebruik,,,,0,pand.6eea1fd2-d3d0-4ece-a3d6-75090d363ac1,6.771,53.372
"MULTIPOLYGON (((6.7732554204632 53.3695461690945,6.77330224771471 53.3694942101502,6.77324409797949 53.3694754698709,6.7731972703884 53.3695274198101,6.7732554204632 53.3695461690945)))","0024100000153777",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153777,2013,Pand in gebruik,overige gebruiksfunctie,28,28,1,pand.d87e520e-a7e4-49b7-9ff8-dc0d2253a5a2,6.773,53.370
"MULTIPOLYGON (((6.77365213629981 53.3687056684268,6.77367308509521 53.3686820177595,6.7736151289769 53.3686636618394,6.7735941801584 53.3686873124968,6.77365213629981 53.3687056684268)))","0024100000153778",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153778,2013,Pand in gebruik,,,,0,pand.e948ce19-bc78-44fc-9879-687d2f0950d1,6.774,53.369
"MULTIPOLYGON (((6.77644564430605 53.3689329076046,6.77642152205204 53.3689499006466,6.77643331671558 53.3689554886814,6.77642639233404 53.3689606728496,6.77643181448881 53.3689620120866,6.77639772964475 53.3690022418411,6.77644019636351 53.3690117441246,6.77651116043395 53.3689661819201,6.77648359262497 53.3689523110029,6.77644564430605 53.3689329076046)))","0024100000153779",http://bag.basisregistraties.overheid.nl/bag/id/pand/0024100000153779,2010,Pand in gebruik,,,,0,pand.c2a0c790-2e26-4e24-82ab-ff2245f7532e,6.776,53.369
