WKT,identifica,rdf_seeals,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,fuuid,longitude,latitude
"MULTIPOLYGON (((6.81395059981162 53.3713296072995,6.81392854277109 53.3713350719857,6.81392236615353 53.3713259791928,6.8139256467099 53.3713252213786,6.81386800655624 53.3712409033641,6.81375293415901 53.3712688585763,6.81380999460253 53.3713533722313,6.81381206480217 53.3713528174871,6.81385742052175 53.3714201173397,6.81398991749214 53.3713870038997,6.81395059981162 53.3713296072995)))","0010100000015047",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015047,1980,Pand in gebruik,woonfunctie,220,220,1,pand.2f056c01-5eaa-466a-b3e0-01cf9f0c13a1,6.814,53.371
"MULTIPOLYGON (((6.81633048456815 53.3713599480035,6.81631492551876 53.3712986573841,6.81624496163915 53.3713044310253,6.81624460146859 53.3713030873549,6.81618407913269 53.3713085690721,6.81618560942273 53.3713148323363,6.81611967083758 53.3713205580873,6.81612565838074 53.3713452083491,6.81613854549112 53.3713984430349,6.81620102015102 53.3713933784799,6.81619751207021 53.3713777839444,6.81624410165849 53.3713739954125,6.81624252311858 53.3713671845564,6.81633048456815 53.3713599480035)))","0010100000015048",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015048,1935,Pand in gebruik,woonfunctie,138,138,1,pand.fd85abc8-5fb7-4636-841f-daf3fd66dc45,6.816,53.371
"MULTIPOLYGON (((6.81592122182146 53.3714381288948,6.81596558511632 53.3713849421183,6.81596924370086 53.3713860668868,6.81598543066891 53.3713667337536,6.81599755718258 53.371370372965,6.81603137339858 53.3713298922915,6.81591584892347 53.3712939711564,6.81582028351654 53.371407525074,6.81592122182146 53.3714381288948)))","0010100000015049",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015049,1980,Pand in gebruik,woonfunctie,149,149,1,pand.7b225988-c815-494a-a2a9-a4d08f8273c9,6.816,53.371
"MULTIPOLYGON (((6.81646825757463 53.3727061071602,6.81650551584355 53.3726656393997,6.81635021816007 53.3726145011023,6.81631297510722 53.37265497762,6.81646825757463 53.3727061071602)))","0010100000015082",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015082,2000,Pand in gebruik,,,,0,pand.49d82f87-111b-4e65-9644-b1a913ea432e,6.816,53.373
"MULTIPOLYGON (((6.8140410083144 53.3726602987723,6.81394109256085 53.3725975911016,6.81392341079105 53.3726076857597,6.8138580599234 53.3725677617655,6.81377341575515 53.3726157640177,6.81388775257405 53.3726883205423,6.81397791456469 53.3727455364778,6.81405575338385 53.3727016586466,6.81401477157421 53.3726756800196,6.8140410083144 53.3726602987723)))","0010100000015084",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015084,1800,Verbouwing pand,woonfunctie,215,215,1,pand.427518dc-f347-4eff-add3-5d9103b1cee3,6.814,53.373
"MULTIPOLYGON (((6.81248692944391 53.3727406373367,6.81245984660492 53.3727441034227,6.81243454459178 53.3726829367921,6.81226479776182 53.372707143967,6.8122951030118 53.3727828181778,6.81239052286042 53.3727692866394,6.81240497671449 53.3728023557822,6.81250876382596 53.3727869367431,6.81248692944391 53.3727406373367)))","0010100000015085",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015085,1890,Pand in gebruik,woonfunctie,141,141,1,pand.24e77682-882a-4fad-bca6-5d5275f85c9b,6.812,53.373
"MULTIPOLYGON (((6.81265838501178 53.372789773887,6.81265210199095 53.372774293024,6.8127251692637 53.3727636860312,6.81270694271731 53.3727187996928,6.81267814695838 53.3726478884118,6.81253833989382 53.3726682275463,6.81256332987383 53.3727285890852,6.81250783902121 53.372736795071,6.81253646679847 53.3728071781864,6.81265838501178 53.372789773887)))","0010100000015086",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015086,1948,Pand in gebruik,woonfunctie,188,188,1,pand.71deea4a-2d4f-43f3-b5da-e28b6c57abcd,6.813,53.373
"MULTIPOLYGON (((6.8173407733568 53.3727548315775,6.81734560108615 53.37272422068,6.81742311741401 53.3727281517224,6.81743883940922 53.3726446615696,6.81735194490772 53.3726388650399,6.81734365492216 53.3726787820003,6.81727785727936 53.3726747924746,6.81726982789543 53.3727180312709,6.81724829766413 53.3727167505548,6.81724332255599 53.3727479023793,6.8173407733568 53.3727548315775)))","0010100000015087",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015087,1933,Pand in gebruik,woonfunctie,124,124,1,pand.08f05e10-e8f6-4115-86b0-c06306461402,6.817,53.373
"MULTIPOLYGON (((6.81621027005819 53.3727712406006,6.81625530053078 53.372733133861,6.81615348428449 53.3726902204871,6.81616665069914 53.3726790109118,6.81602429874289 53.3726190556034,6.81595328352162 53.3726792087914,6.816095608522 53.3727392543669,6.81610848380675 53.3727283268325,6.81621027005819 53.3727712406006)))","0010100000015088",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015088,1980,Pand in gebruik,woonfunctie,187,187,1,pand.1398e2d6-3e55-438c-8934-ac479356ed24,6.816,53.373
"MULTIPOLYGON (((6.81369279846957 53.3727408120811,6.81378343838269 53.372680571313,6.8136907962576 53.3726215065028,6.81356508865072 53.3726909246656,6.81361403121956 53.3727213471405,6.81353200098463 53.3727670806278,6.81359681491538 53.3728053127489,6.81369279846957 53.3727408120811)))","0010100000015089",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015089,1976,Pand in gebruik,woonfunctie,171,171,1,pand.49a03516-4bee-4a5a-9fe9-88011b7c0f5d,6.814,53.373
"MULTIPOLYGON (((6.81457703247427 53.372794989083,6.81458675289265 53.3727460241127,6.81453463023338 53.3727420595395,6.81452499528883 53.3727913380123,6.81457703247427 53.372794989083)))","0010100000015090",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015090,1977,Pand in gebruik,,,,0,pand.2078e5ba-8241-4b91-8ed9-1f7ef77fc79d,6.815,53.373
"MULTIPOLYGON (((6.81596983715312 53.3727523495605,6.81592362533928 53.3727272873911,6.81591596645004 53.3727324017066,6.8158608847641 53.3727026821059,6.81579339068506 53.3727471571775,6.81584635471415 53.3727760033257,6.81583869342084 53.3727810457739,6.81588689339708 53.3728071537358,6.81588919548853 53.3728081508361,6.81594431484604 53.3728367377001,6.81597413764657 53.3728171437829,6.81591895631738 53.3727889530667,6.81591647736805 53.3727876076008,6.81596983715312 53.3727523495605)))","0010100000015091",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015091,1930,Pand in gebruik,woonfunctie,106,106,1,pand.e76fb911-eff2-4f94-8994-0cf7ee660df6,6.816,53.373
"MULTIPOLYGON (((6.81222217399186 53.3728629324189,6.81233802331789 53.3728446657609,6.8123222754819 53.3728092754982,6.81220581947506 53.3728273696022,6.81222217399186 53.3728629324189)))","0010100000015092",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015092,1987,Pand in gebruik,,,,0,pand.c4575a93-2f66-48e3-9934-c5f6dce67ee9,6.812,53.373
"MULTIPOLYGON (((6.81448942373118 53.3727699233065,6.81437932309402 53.3727621443962,6.81435251223076 53.3727602158912,6.81433745301892 53.3728366883948,6.81450162301766 53.3728482201466,6.81451545932606 53.3727715824036,6.81448942373118 53.3727699233065)))","0010100000015093",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015093,1800,Pand in gebruik,woonfunctie,100,100,1,pand.06f63272-138e-43b2-b50f-586e4fd22225,6.814,53.373
"MULTIPOLYGON (((6.81386129192645 53.3727282190876,6.81378343838269 53.372680571313,6.81369279846957 53.3727408120811,6.81373136348188 53.3727632429209,6.81370862543758 53.3727785556515,6.81363349446499 53.3728374981581,6.8136915489387 53.3728658265803,6.81376653593075 53.3728070744579,6.81374909068943 53.3727984747422,6.81384406861213 53.3727390002424,6.81386129192645 53.3727282190876)))","0010100000015095",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015095,1920,Pand in gebruik,woonfunctie,158,158,1,pand.91c160b9-4c6c-4369-8555-7b2a6c91771a,6.814,53.373
"MULTIPOLYGON (((6.81726919623529 53.3728030044767,6.817277480302 53.3727719481101,6.81685088262258 53.3727317186298,6.81686268583251 53.3726885338651,6.81672159132801 53.3726741430633,6.81655269398051 53.3726569102772,6.81649455702002 53.3728699478501,6.81680616700285 53.3729009323121,6.81682813519637 53.372819974059,6.81725396709079 53.3728601947566,6.81726919623529 53.3728030044767)))","0010100000015097",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015097,1961,Pand in gebruik,,,,0,pand.86c75827-e442-48f8-b954-387bba7816a7,6.817,53.373
"MULTIPOLYGON (((6.81420900407467 53.3729910694451,6.81422936506285 53.3729620806829,6.81425448042209 53.3729128881909,6.81428178529449 53.3728662847371,6.8141513447977 53.3728342232421,6.81411745505024 53.3728811833487,6.81417738856931 53.3728945719621,6.81414563568704 53.3729380020638,6.8141304692091 53.3729337786685,6.81410895436717 53.3729646772133,6.81420900407467 53.3729910694451)))","0010100000015099",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000015099,1840,Pand in gebruik,woonfunctie,115,115,1,pand.b5a84de4-dd71-486b-9023-aa945c9b947e,6.814,53.373
"MULTIPOLYGON (((6.81655012265799 53.3711868678055,6.81656362065494 53.3711951545682,6.81665948877526 53.3711409870786,6.81658095486804 53.3710923157431,6.81648551606563 53.3711462893572,6.81649811891359 53.371154317173,6.81647111318222 53.3711695643349,6.81652344099606 53.3712023717318,6.81655012265799 53.3711868678055)))","0010100000016107",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016107,1920,Pand in gebruik,woonfunctie,90,90,1,pand.13122bbe-ff27-4f73-b945-01fb8bf1deed,6.817,53.371
"MULTIPOLYGON (((6.81620805089972 53.3711390807508,6.81612399387718 53.3711643333573,6.81609741341371 53.3711326667539,6.81601705780356 53.3711567160823,6.8160474101495 53.3711929209275,6.81606794099219 53.3711867550718,6.81609205017983 53.3712154945343,6.81614501649556 53.3711996694926,6.81618052890489 53.3712423910011,6.81627204178966 53.3712149649549,6.81620805089972 53.3711390807508)))","0010100000016108",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016108,1930,Pand in gebruik,woonfunctie,123,123,1,pand.4d6367c4-cd0f-4da4-80d0-291f2fa816da,6.816,53.371
"MULTIPOLYGON (((6.8037797503905 53.3711269214368,6.80425381106393 53.3714202315106,6.80447134528875 53.3712944845074,6.80410686436741 53.3710677132618,6.80413359047624 53.3710520588347,6.80402537353899 53.3709849296992,6.8037797503905 53.3711269214368)))","0010100000016112",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016112,2002,Pand in gebruik,,,,0,pand.464632ee-f14e-450f-8c7f-afb0b1d1bbfe,6.804,53.371
"MULTIPOLYGON (((6.8149700880322 53.3713703509383,6.81501473109739 53.3712848104301,6.81489316888396 53.3712620710324,6.8149159381924 53.3712187562997,6.81482476647547 53.3712016949501,6.81481558772713 53.371219417078,6.81447129316381 53.3711548470525,6.81439538000346 53.3712988100067,6.81474133644558 53.3713636211367,6.81476859915791 53.3713117161033,6.81485886124692 53.3713285276887,6.81484869398078 53.3713481576644,6.8149700880322 53.3713703509383)))","0010100000016113",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016113,1925,Pand in gebruik,"logiesfunctie,woonfunctie",797,797,1,pand.dd020910-282c-4449-bc73-add76a58a536,6.815,53.371
"MULTIPOLYGON (((6.81456488742191 53.3714483082401,6.81450967635853 53.3714961415368,6.81456313812681 53.3715183234709,6.81461850233867 53.3714705781957,6.81456488742191 53.3714483082401)))","0010100000016156",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016156,1950,Pand in gebruik,,,,0,pand.f3c7182c-6072-49e7-b603-84a15c6a02f7,6.815,53.371
"MULTIPOLYGON (((6.8148146662044 53.3715272096242,6.81481513373008 53.3715268086776,6.81485858920359 53.3714896916581,6.8148707751853 53.3714792756657,6.81472277040543 53.3714158812627,6.81466577516224 53.3714638256693,6.8148146662044 53.3715272096242)))","0010100000016157",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016157,1930,Pand in gebruik,industriefunctie,72,72,1,pand.a44b84e5-0173-4d00-b4ba-c5d25f77bc2a,6.815,53.371
"MULTIPOLYGON (((6.81654313801852 53.3715284312417,6.81662836692725 53.3714886874512,6.81656189413874 53.3714367275699,6.81654990373768 53.3714421629881,6.81652705638865 53.371424282079,6.81647006835575 53.3714502197566,6.81649243187346 53.371467558259,6.81647526533078 53.371475490465,6.81654313801852 53.3715284312417)))","0010100000016158",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016158,1890,Pand in gebruik,woonfunctie,68,68,1,pand.cd22e189-e594-4769-98c6-b0f6f17a4566,6.817,53.371
"MULTIPOLYGON (((6.81245504754802 53.3715328136244,6.8124443578143 53.371536705544,6.81238779271692 53.3714806810188,6.81230226844501 53.3715111693623,6.81232633450348 53.3715350484686,6.81231564535252 53.3715389583424,6.81238931893903 53.3716124922449,6.81249683210636 53.3715740150767,6.81245504754802 53.3715328136244)))","0010100000016160",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016160,1952,Pand in gebruik,woonfunctie,133,133,1,pand.af1d6982-c6f5-4b84-b2ec-f00923ffb00f,6.812,53.372
"MULTIPOLYGON (((6.81372822534726 53.3716198967355,6.81378222772379 53.3715994774375,6.81373635119678 53.3715568062583,6.81368264257095 53.37157747367,6.81372822534726 53.3716198967355)))","0010100000016161",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016161,1910,Pand in gebruik,,,,0,pand.9ee106d7-ce53-42d7-9d78-b96574ba73f2,6.814,53.372
"MULTIPOLYGON (((6.81216209840203 53.3716161725095,6.81223653856142 53.371667941544,6.81226844933172 53.3716514780084,6.81228813646792 53.3716651825651,6.81233716982564 53.371639889299,6.81224291029688 53.3715745071943,6.81216209840203 53.3716161725095)))","0010100000016162",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016162,1948,Pand in gebruik,woonfunctie,96,96,1,pand.2725bfcf-a563-4401-bb3d-2d1c7b77d505,6.812,53.372
"MULTIPOLYGON (((6.81586448603949 53.3716391079239,6.81596537236801 53.3715504817584,6.81574220859081 53.3714636283085,6.81563339104936 53.3715663671337,6.81579779367181 53.3716302935849,6.81581133567938 53.3716177316332,6.81586448603949 53.3716391079239)))","0010100000016163",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016163,1964,Pand in gebruik,industriefunctie,222,222,1,pand.193e4761-7cc2-43f9-9aaa-2810e203a2d4,6.816,53.372
"MULTIPOLYGON (((6.81258656341558 53.3716156368939,6.81253411073919 53.371633413283,6.81258041214414 53.3716798721025,6.81263270259567 53.371661279861,6.81258656341558 53.3716156368939)))","0010100000016164",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016164,1971,Pand in gebruik,,,,0,pand.274b1c7a-3150-43fd-bc51-0d86a22adbce,6.813,53.372
"MULTIPOLYGON (((6.81459378913221 53.3715585779582,6.81458396996817 53.3715665125713,6.81452678669184 53.3715413104666,6.81445616213806 53.371599660891,6.81451561323563 53.3716257347534,6.81450376615225 53.3716354996719,6.81461402405841 53.3716838857752,6.81467412319258 53.3716343768926,6.81466695350624 53.3716311370315,6.8146988388622 53.371604878052,6.81459378913221 53.3715585779582)))","0010100000016165",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016165,1930,Pand in gebruik,woonfunctie,174,174,1,pand.fea159dc-bba5-41b3-8b67-17e43e02078d,6.815,53.372
"MULTIPOLYGON (((6.81223649231117 53.3716679061466,6.81216209840203 53.3716161725095,6.81208128605309 53.3716578287875,6.81217525106964 53.3717233942314,6.81222446480103 53.3716980988762,6.81225631432789 53.3716816001244,6.81223653856142 53.371667941544,6.81223649231117 53.3716679061466)))","0010100000016166",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016166,1948,Pand in gebruik,woonfunctie,96,96,1,pand.495fa93f-6a9c-4e9d-9154-b1a252ba54ff,6.812,53.372
"MULTIPOLYGON (((6.81695221222115 53.3716571067504,6.81693562802466 53.3716373452259,6.81688161901811 53.3716534525931,6.8168986711097 53.3716737297709,6.81693139139413 53.3717128807273,6.81693544605975 53.371717784003,6.816956424043 53.3717115048476,6.81698975284083 53.3717015921962,6.81695221222115 53.3716571067504)))","0010100000016167",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016167,1981,Pand in gebruik,,,,0,pand.4ed46c64-b8d3-4792-a54e-07e01ac68a23,6.817,53.372
"MULTIPOLYGON (((6.81636333039213 53.3716652726151,6.81648246821221 53.371605472978,6.81639580578368 53.3715432658453,6.81635578566218 53.3715647962718,6.81633704353724 53.371552438078,6.81624906084493 53.3715997628857,6.81626535799213 53.3716108920529,6.81624998499866 53.3716189916314,6.8163382557153 53.3716798587703,6.81633500471383 53.3716815059453,6.81639401884616 53.3717206232397,6.81642504834478 53.3717007452686,6.81636333039213 53.3716652726151)))","0010100000016168",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016168,1920,Pand in gebruik,woonfunctie,143,143,1,pand.cf4e3549-a45b-4691-9b7e-3ac5f2657c48,6.816,53.372
"MULTIPOLYGON (((6.81361821428994 53.3717597613481,6.81376659724587 53.3717081366875,6.81370791643712 53.3716463686415,6.81370203372121 53.3716484064054,6.81369624731935 53.3716424721596,6.81365192305839 53.3716579510013,6.81359468528184 53.37159936492,6.81344569900951 53.371650915648,6.8134274860139 53.3716572153234,6.81349915747656 53.3717305745992,6.81353694599367 53.3717173749583,6.81358846050438 53.3717701159293,6.81361821428994 53.3717597613481)))","0010100000016169",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016169,1920,Pand in gebruik,woonfunctie,229,229,1,pand.d5f9b70a-0f68-4640-82b0-1a7e49c65ca7,6.814,53.372
"MULTIPOLYGON (((6.81441272942909 53.3717896797688,6.81441825327086 53.3717849772901,6.81443151875992 53.3717835438461,6.81444396396638 53.3717727833438,6.8144419615023 53.3717649620425,6.81447987082183 53.371732763584,6.81451667263916 53.371748259682,6.81452543186691 53.371740984667,6.81453853032993 53.3717394992748,6.81455793701251 53.3717229857903,6.81455574403727 53.3717153105323,6.81456430024285 53.3717078042788,6.8144291763261 53.3716508706115,6.81436436150541 53.3717058989992,6.81432934215385 53.3716911365599,6.81427940433881 53.3717335243754,6.81441272942909 53.3717896797688)))","0010100000016170",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000016170,1964,Pand in gebruik,woonfunctie,210,210,1,pand.7becf93e-432f-465d-8402-a096d7103458,6.814,53.372
"MULTIPOLYGON (((6.81701402996461 53.370996982188,6.81699489470803 53.370938879364,6.81695024770203 53.3709441368339,6.81694782566626 53.3709368148035,6.81690097791173 53.370942314084,6.81688151306878 53.370881069944,6.81673930282732 53.3708971381481,6.81675967164759 53.3709584614295,6.81676116765763 53.3709582639245,6.816769156029 53.3709820726263,6.81690599532756 53.3709666972673,6.81691937515171 53.3710080550869,6.81696936788101 53.3710022398437,6.81701402996461 53.370996982188)))","0010100000014291",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014291,1920,Pand in gebruik,woonfunctie,165,165,1,pand.56c0f78d-38ce-41b5-9bed-269993dc9ed2,6.817,53.371
"MULTIPOLYGON (((6.81590871863134 53.3710204131985,6.81594856607391 53.3710077185251,6.81594386614013 53.3710023825504,6.81608098550307 53.3709596863698,6.81603030410096 53.3709040429405,6.8158930705649 53.3709473694641,6.81590414921906 53.3709597288809,6.81586592703514 53.3709720447847,6.81590871863134 53.3710204131985)))","0010100000014292",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014292,1930,Pand in gebruik,woonfunctie,98,98,1,pand.f4c37b66-6371-4c49-b24e-5dd265ccce8a,6.816,53.371
"MULTIPOLYGON (((6.81663928770323 53.3709942557238,6.81662885971853 53.3709657581809,6.81660913813629 53.3709686884261,6.81658675857527 53.3709146769266,6.81641972496243 53.3709388668038,6.81645598784558 53.3710218200977,6.81652476576665 53.37101111794,6.8165244507486 53.3710106813529,6.81663928770323 53.3709942557238)))","0010100000014293",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014293,1910,Pand in gebruik,woonfunctie,115,115,1,pand.05c98297-1ea8-41f0-b038-c3e588474ede,6.817,53.371
"MULTIPOLYGON (((6.81596083352278 53.3711015787929,6.81605223010474 53.3710711079274,6.81601592435723 53.3710320891844,6.81592454285173 53.3710625598441,6.81596083352278 53.3711015787929)))","0010100000014294",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014294,1983,Pand in gebruik,,,,0,pand.d90cbf42-26ac-4364-b836-cf0539cbdf85,6.816,53.371
"MULTIPOLYGON (((6.81880603898618 53.3710699715409,6.81884005210091 53.3710526544713,6.81879599435991 53.3710218794072,6.81876212875977 53.3710391138321,6.81880603898618 53.3710699715409)))","0010100000014295",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014295,1985,Pand in gebruik,overige gebruiksfunctie,11,11,1,pand.7addcee1-3206-4b48-bada-d6bf8916ac45,6.819,53.371
"MULTIPOLYGON (((6.81750255123452 53.3709451376484,6.8174107785928 53.3710596362852,6.81753107107756 53.3710934234577,6.8176220956767 53.3709794817896,6.81750255123452 53.3709451376484)))","0010100000014296",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014296,1930,Pand in gebruik,,,,0,pand.7df62209-7fd7-453e-91a0-7ea78ce44870,6.818,53.371
"MULTIPOLYGON (((6.8053803813657 53.3707945474573,6.80524583852237 53.3707210439508,6.80518160940021 53.3707640636949,6.80515768891645 53.3707513065249,6.80506675803933 53.3708107084704,6.8050584027103 53.3708061160987,6.8046512601586 53.3710745186155,6.80504594567403 53.3712871472387,6.8055238226381 53.3709706953612,6.80529737260006 53.3708485812177,6.80531257106319 53.370839236012,6.80531324377738 53.370839587534,6.8053803813657 53.3707945474573)))","0010100000014297",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014297,1900,Pand in gebruik,"industriefunctie,woonfunctie",1749,1749,1,pand.b2f9e455-4d93-4dfa-bfc5-c17f8aad5ee4,6.805,53.371
"MULTIPOLYGON (((6.81780269114132 53.3711783583927,6.81784559302787 53.3711350732396,6.81784711562162 53.3711356751883,6.81790788836665 53.3710744744018,6.8178104348067 53.3710402362642,6.81781899743696 53.3710315884312,6.81768778496917 53.370985260676,6.81762514009 53.3710489099226,6.81775347830968 53.3710946518703,6.81770476861488 53.3711435775806,6.81780269114132 53.3711783583927)))","0010100000014298",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014298,1950,Pand in gebruik,woonfunctie,213,213,1,pand.c661c20f-f95a-44ee-b6c5-117240063c51,6.818,53.371
"MULTIPOLYGON (((6.81550902729661 53.371205793748,6.81552094465527 53.3711664718647,6.81553783251399 53.3711682483359,6.81555123193522 53.3711242359615,6.81556103360782 53.3711252878,6.81559523760621 53.3710104857206,6.8153832118951 53.3709874730214,6.81534902523784 53.3711028140105,6.81536381934234 53.3711044356369,6.81535606026984 53.3711291592744,6.81536798540412 53.3711303566587,6.81535038898721 53.3711887160831,6.81550902729661 53.371205793748)))","0010100000014299",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014299,1910,Pand in gebruik,woonfunctie,337,337,1,pand.2ca23690-108b-4947-8d11-8865ab45ba25,6.815,53.371
"MULTIPOLYGON (((6.81258521018198 53.3725322573907,6.81267350136302 53.3725167432348,6.81266834039124 53.3725061016868,6.81276321097523 53.3724896198554,6.81272047406773 53.3724061042297,6.81258751609281 53.3724295074787,6.81259025717458 53.3724346870637,6.81254036618802 53.3724440937865,6.81258521018198 53.3725322573907)))","0010100000014336",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014336,1950,Pand in gebruik,woonfunctie,163,163,1,pand.03518aca-ad66-4bd6-b761-8a7b5497cf39,6.813,53.372
"MULTIPOLYGON (((6.81365930307515 53.3724692832698,6.81373433898703 53.3725207927085,6.81376933965401 53.3725458538637,6.81383220525943 53.3725144560063,6.81380714778994 53.3724965199256,6.8138260713367 53.3724867160924,6.81381515401838 53.3724792161778,6.81384277411407 53.3724647711168,6.81381865320572 53.3724483426193,6.81382159489203 53.3724468789085,6.81379439815639 53.37242832118,6.81379159195115 53.3724297922698,6.81376744104134 53.3724133641179,6.81365930307515 53.3724692832698)))","0010100000014337",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014337,1910,Pand in gebruik,woonfunctie,122,122,1,pand.2bcff881-7741-486c-bd25-472039049f60,6.814,53.372
"MULTIPOLYGON (((6.81208565039424 53.372493333868,6.81195025284498 53.3725156869451,6.81191367601573 53.3724498011311,6.81182559126053 53.3724674689996,6.81187320782317 53.3725527333872,6.81194800150183 53.3725379996721,6.8119664753728 53.3725790370488,6.81211458926038 53.3725549876851,6.81208565039424 53.372493333868)))","0010100000014338",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014338,1950,Pand in gebruik,"bijeenkomstfunctie,woonfunctie",179,179,1,pand.6e02c655-b400-4222-bc97-acfc170af191,6.812,53.373
"MULTIPOLYGON (((6.81418388559129 53.3724430491761,6.81417671443319 53.3724796366728,6.81417324466748 53.3724973449363,6.81430634895806 53.3725055520678,6.81430425452532 53.3725198741494,6.81431540844056 53.3725204607335,6.81431675068068 53.3725115483534,6.81435800785912 53.3725136649329,6.81435504049999 53.3725333801773,6.81436980496567 53.3725340946622,6.81437261037193 53.3725144801883,6.81441852076223 53.3725169009953,6.81441570065439 53.3725365246312,6.8144301679928 53.3725373414833,6.8144329547756 53.3725176193929,6.81447647127523 53.3725198978395,6.81447366311326 53.372539880788,6.81448933178427 53.3725406743934,6.81449226039979 53.3725206990017,6.81453591447263 53.3725230476851,6.81453369357444 53.3725376318751,6.81454904711622 53.3725384381981,6.81455112984605 53.372523765784,6.8146713840162 53.3725300761008,6.81466830247862 53.3725504217513,6.81468772016702 53.3725514404339,6.81469080169549 53.372531094783,6.81472160533638 53.3725310887034,6.81473038970398 53.372541777033,6.81473827598042 53.3725394368683,6.81472917928261 53.3725283927928,6.81476583544979 53.3725145681808,6.81478042083245 53.3725234712787,6.81478792610321 53.3725191586415,6.81477274300498 53.3725099031849,6.81477746845291 53.3724752497724,6.8147922446757 53.3724677146233,6.81478578114921 53.3724631184406,6.81477248311562 53.3724699171415,6.81473987882108 53.3724518820976,6.81474380632852 53.3724484296748,6.81473635379707 53.3724452740509,6.81473153448923 53.3724494739345,6.81469564306453 53.37244558641,6.81469797238144 53.3724297428446,6.81467780641428 53.3724288139203,6.81467561227288 53.3724446558812,6.81464823636622 53.3724433542046,6.81465041549733 53.3724275124223,6.81463024655194 53.3724264936622,6.81462805537335 53.3724424254502,6.81456183513683 53.3724392661999,6.81456387613665 53.3724233361952,6.81454429894745 53.3724224901257,6.81454228500101 53.3724383299458,6.81444986612816 53.3724340256989,6.81445205469049 53.3724180130688,6.81443247452593 53.3724170771532,6.81443031599699 53.3724330894266,6.81433187769642 53.3724285150249,6.81433404800454 53.3724124037644,6.81431419747931 53.372411471037,6.81431107582109 53.3724351420922,6.81430187456954 53.3724345323432,6.81430199467941 53.3724336233,6.81418725395548 53.372425908253,6.81418388559129 53.3724430491761)))","0010100000014339",http://bag.basisregistraties.overheid.nl/bag/id/pand/0010100000014339,1886,Pand in gebruik,woonfunctie,214,214,1,pand.276ec280-491b-45cf-bb7f-fc604c954fd7,6.814,53.372
